iter	Passed	Remaining
0	1	1945
1	3	1821
2	5	1779
3	7	1860
4	9	1856
5	11	1845
6	12	1810
7	14	1799
8	16	1799
9	18	1818
10	20	1856
11	22	1889
12	24	1883
13	26	1868
14	28	1873
15	30	1887
16	32	1876
17	34	1863
18	35	1851
19	38	1867
20	39	1849
21	41	1836
22	42	1820
23	44	1812
24	46	1807
25	47	1796
26	49	1786
27	51	1781
28	53	1777
29	54	1774
30	56	1769
31	58	1762
32	59	1754
33	61	1748
34	63	1743
35	64	1739
36	66	1735
37	78	1985
38	80	1990
39	84	2039
40	87	2053
41	90	2058
42	95	2118
43	98	2140
44	100	2138
45	104	2165
46	106	2162
47	108	2158
48	112	2181
49	114	2166
50	115	2152
51	117	2138
52	119	2132
53	121	2120
54	123	2126
55	126	2139
56	129	2135
57	131	2134
58	133	2121
59	134	2110
60	136	2099
61	138	2088
62	139	2078
63	141	2067
64	142	2056
65	144	2046
66	146	2037
67	147	2028
68	149	2018
69	151	2010
70	152	2001
71	154	1996
72	156	1989
73	158	1981
74	159	1972
75	161	1965
76	163	1957
77	165	1950
78	166	1945
79	168	1938
80	170	1931
81	171	1924
82	173	1918
83	175	1912
84	177	1905
85	178	1899
86	180	1893
87	182	1886
88	183	1882
89	185	1877
90	187	1872
91	189	1867
92	190	1862
93	192	1857
94	194	1850
95	195	1844
96	197	1841
97	199	1836
98	201	1831
99	202	1826
100	204	1821
101	206	1816
102	208	1813
103	209	1808
104	211	1805
105	213	1800
106	215	1795
107	217	1793
108	219	1791
109	220	1787
110	222	1783
111	224	1781
112	226	1777
113	228	1772
114	229	1769
115	231	1765
116	233	1760
117	234	1756
118	236	1753
119	238	1749
120	240	1746
121	242	1742
122	243	1738
123	245	1735
124	247	1732
125	248	1725
126	250	1720
127	252	1716
128	253	1712
129	255	1709
130	257	1705
131	258	1701
132	260	1698
133	262	1695
134	264	1691
135	265	1688
136	267	1685
137	269	1684
138	271	1681
139	273	1677
140	274	1675
141	276	1670
142	278	1667
143	279	1663
144	281	1660
145	283	1657
146	285	1654
147	287	1652
148	288	1648
149	290	1645
150	292	1642
151	293	1639
152	295	1636
153	297	1633
154	299	1631
155	300	1627
156	302	1624
157	304	1621
158	306	1619
159	308	1617
160	309	1614
161	311	1611
162	313	1610
163	315	1608
164	317	1604
165	318	1601
166	320	1600
167	322	1597
168	324	1593
169	325	1591
170	327	1588
171	329	1586
172	331	1585
173	333	1582
174	335	1579
175	337	1578
176	338	1574
177	340	1574
178	344	1578
179	345	1575
180	347	1572
181	349	1570
182	351	1568
183	352	1564
184	354	1562
185	356	1559
186	358	1557
187	360	1555
188	361	1553
189	363	1550
190	365	1547
191	366	1544
192	368	1541
193	370	1539
194	372	1536
195	373	1533
196	375	1530
197	377	1527
198	378	1525
199	380	1521
200	382	1519
201	383	1516
202	385	1514
203	387	1512
204	389	1509
205	391	1507
206	392	1504
207	394	1501
208	396	1498
209	397	1496
210	399	1494
211	401	1492
212	403	1489
213	404	1486
214	406	1484
215	408	1482
216	410	1479
217	411	1477
218	413	1474
219	415	1472
220	417	1470
221	418	1468
222	420	1465
223	422	1462
224	423	1459
225	425	1457
226	427	1455
227	429	1452
228	430	1450
229	432	1447
230	434	1445
231	435	1442
232	437	1440
233	439	1437
234	440	1435
235	442	1432
236	444	1430
237	446	1428
238	447	1425
239	449	1423
240	451	1420
241	452	1418
242	454	1416
243	456	1413
244	458	1411
245	459	1409
246	461	1406
247	463	1404
248	464	1402
249	466	1399
250	468	1397
251	470	1395
252	471	1392
253	473	1390
254	475	1388
255	476	1386
256	478	1384
257	480	1382
258	482	1380
259	484	1377
260	485	1375
261	487	1373
262	489	1370
263	490	1368
264	492	1366
265	494	1364
266	496	1362
267	497	1360
268	499	1357
269	501	1355
270	503	1354
271	505	1352
272	507	1350
273	509	1348
274	510	1346
275	512	1344
276	514	1341
277	516	1340
278	517	1337
279	519	1335
280	521	1333
281	522	1331
282	524	1329
283	526	1327
284	528	1324
285	529	1322
286	531	1320
287	532	1317
288	534	1315
289	536	1313
290	538	1310
291	539	1308
292	541	1306
293	543	1304
294	545	1302
295	546	1300
296	548	1298
297	550	1296
298	552	1294
299	553	1292
300	555	1289
301	557	1287
302	558	1285
303	560	1283
304	562	1281
305	564	1279
306	565	1277
307	567	1275
308	569	1273
309	570	1270
310	572	1269
311	574	1267
312	576	1265
313	578	1263
314	580	1262
315	584	1264
316	586	1263
317	588	1261
318	590	1260
319	592	1258
320	594	1257
321	596	1256
322	598	1254
323	600	1253
324	602	1251
325	604	1249
326	606	1248
327	608	1247
328	610	1245
329	612	1244
330	615	1243
331	617	1242
332	619	1240
333	620	1237
334	622	1235
335	624	1233
336	625	1231
337	627	1229
338	630	1229
339	633	1230
340	636	1229
341	638	1227
342	641	1228
343	643	1226
344	644	1224
345	646	1222
346	649	1221
347	651	1219
348	653	1218
349	655	1216
350	657	1215
351	659	1213
352	660	1210
353	662	1208
354	664	1207
355	666	1206
356	668	1204
357	671	1204
358	673	1202
359	675	1200
360	677	1199
361	679	1198
362	681	1196
363	683	1194
364	685	1192
365	687	1191
366	689	1189
367	692	1189
368	694	1187
369	696	1186
370	699	1185
371	700	1183
372	702	1181
373	704	1179
374	706	1177
375	708	1176
376	710	1174
377	712	1172
378	714	1171
379	716	1169
380	718	1166
381	720	1165
382	722	1164
383	724	1162
384	726	1160
385	728	1158
386	729	1155
387	731	1153
388	733	1152
389	735	1150
390	737	1148
391	738	1145
392	740	1143
393	742	1141
394	744	1139
395	745	1137
396	747	1135
397	749	1133
398	751	1131
399	752	1129
400	754	1127
401	756	1124
402	758	1123
403	759	1120
404	761	1118
405	763	1116
406	765	1115
407	767	1113
408	768	1111
409	770	1108
410	772	1106
411	774	1104
412	775	1102
413	777	1100
414	779	1098
415	780	1096
416	782	1094
417	784	1092
418	786	1090
419	787	1087
420	789	1085
421	791	1083
422	793	1081
423	795	1080
424	796	1077
425	798	1075
426	800	1073
427	801	1071
428	803	1069
429	805	1067
430	807	1065
431	808	1063
432	810	1061
433	811	1058
434	813	1056
435	815	1054
436	817	1052
437	819	1051
438	820	1049
439	823	1047
440	824	1045
441	826	1043
442	828	1041
443	830	1039
444	832	1037
445	833	1035
446	835	1033
447	837	1031
448	838	1029
449	840	1027
450	842	1025
451	843	1023
452	845	1020
453	847	1019
454	848	1016
455	850	1014
456	851	1011
457	853	1009
458	855	1007
459	856	1005
460	858	1004
461	860	1002
462	862	999
463	863	997
464	865	995
465	867	993
466	869	992
467	870	990
468	872	988
469	874	985
470	875	983
471	877	981
472	879	979
473	881	978
474	882	975
475	884	973
476	886	971
477	887	969
478	889	967
479	891	965
480	893	963
481	895	962
482	897	960
483	899	958
484	900	956
485	903	955
486	905	953
487	906	951
488	908	949
489	910	947
490	912	945
491	914	943
492	915	941
493	917	939
494	919	937
495	920	935
496	922	933
497	924	931
498	926	930
499	928	928
500	930	926
501	931	924
502	933	922
503	935	920
504	937	918
505	940	918
506	943	917
507	945	915
508	946	913
509	949	912
510	951	910
511	953	908
512	955	906
513	962	910
514	967	911
515	974	914
516	980	916
517	985	916
518	987	915
519	991	915
520	994	914
521	996	912
522	999	911
523	1001	909
524	1003	907
525	1005	905
526	1006	903
527	1008	901
528	1013	902
529	1015	900
530	1019	900
531	1020	897
532	1022	895
533	1024	893
534	1026	891
535	1027	889
536	1029	887
537	1031	885
538	1033	883
539	1035	881
540	1036	879
541	1038	877
542	1040	875
543	1041	873
544	1043	871
545	1045	869
546	1047	867
547	1048	865
548	1050	862
549	1051	860
550	1053	858
551	1055	856
552	1057	854
553	1059	852
554	1060	850
555	1062	848
556	1064	846
557	1065	844
558	1067	842
559	1069	840
560	1071	838
561	1073	836
562	1074	834
563	1076	832
564	1078	829
565	1079	827
566	1081	825
567	1083	823
568	1084	821
569	1086	819
570	1088	817
571	1090	815
572	1091	813
573	1093	811
574	1095	809
575	1096	807
576	1098	805
577	1099	802
578	1101	800
579	1103	798
580	1105	796
581	1106	794
582	1108	792
583	1110	790
584	1111	788
585	1113	786
586	1115	784
587	1116	782
588	1118	780
589	1120	778
590	1122	776
591	1123	774
592	1125	772
593	1126	770
594	1128	768
595	1130	766
596	1131	764
597	1133	762
598	1135	759
599	1136	757
600	1138	755
601	1140	753
602	1141	751
603	1143	749
604	1145	747
605	1147	745
606	1148	743
607	1150	741
608	1152	739
609	1153	737
610	1155	735
611	1157	733
612	1159	731
613	1160	729
614	1162	727
615	1164	725
616	1165	723
617	1167	721
618	1169	719
619	1170	717
620	1172	715
621	1174	713
622	1176	711
623	1178	709
624	1179	707
625	1181	705
626	1182	703
627	1184	701
628	1186	699
629	1188	697
630	1190	696
631	1192	694
632	1193	692
633	1195	690
634	1197	688
635	1199	686
636	1200	684
637	1202	682
638	1204	680
639	1206	678
640	1208	676
641	1209	674
642	1211	672
643	1213	670
644	1215	668
645	1216	666
646	1218	664
647	1220	662
648	1222	660
649	1223	659
650	1225	657
651	1227	655
652	1228	653
653	1230	651
654	1232	648
655	1233	646
656	1235	645
657	1237	643
658	1238	641
659	1240	638
660	1242	637
661	1243	635
662	1245	633
663	1247	631
664	1249	629
665	1251	627
666	1253	625
667	1254	623
668	1256	621
