Ticker,Nama Perusahaan,Tanggal Listing,Sektor,Underwriter,Papan Pencatatan,Ownership,Listed Share,Persen Saham Ditawarkan,Rencana Penggunaan Dana IPO,Valuation Currency,Total Aset,Total Liabilitas,Pendapatan,Laba Kotor,Laba Berjalan (Bukan Komperhensif),Harga Final,1D %,1W %,1M %,6M %,1Y %
UNIQ,PT Ulima Nitra Tbk,8-Mar-21,Energy,PT Surya Fajar Sekuritas,utama,lainnya,3138983000,0.0956,modal kerja,rupiah,5.39673E+11,2.67416E+11,2.70926E+11,24547000000,-5617000000,118,999,35,5,-25,-30
GTRA,PT Grahaprima Suksesmandiri Tbk,30-Mar-23,Transportation & Logistic,PT UOB Kay Hian Sekuritas,pengembangan,lainnya,1894375000,0.2,modal belanja,rupiah,6.50517E+11,4.56514E+11,1.95317E+11,87569000000,1.12922E+11,150,999,85,77,39,9
BSBK,PT Wulandari Bangun Laksana Tbk,8-Nov-22,Properties & Real Estate,PT KGI Sekuritas Indonesia; PT Panca Global Sekuritas; PT Yuanta Sekuritas Indonesia; PT Aartha Sekuritas Indonesia,pengembangan,lainnya,22750000000,0.1209,modal kerja,rupiah,2.26498E+12,1.1163E+12,55906000000,38950000000,-1943000000,100,999,170,140,-50,-50
COAL,PT Black Diamond Resources Tbk,7-Sep-22,Energy,PT  Surya Fajar Sekuritas,pemantauan khusus,lainnya,6250000000,0.2,modal kerja,rupiah,3.68114E+11,2.49577E+14,95530761000,49028909000,43301731000,100,999,280,354,36,-45
CRAB,PT Toba Surimi Industries Tbk,10-Aug-22,Consumer Non-Cyclicals,PT KGI Sekuritas Indonesia,pengembangan,lainnya,1950000000,0.2,modal kerja,rupiah,3.63552E+11,2.47297E+11,1.35593E+11,17387464788,2926421615,150,999,56,59,41,59
SMLE,PT Sinergi Multi Lestarindo Tbk,10-Jan-24,Basic Materials,PT MNC Sekuritas; PT Erdikha Elit Sekuritas,pengembangan,lainnya,2328125000,0.2,modal belanja,rupiah,86055664583,63448283667,92317161613,23370010690,2220346422,175,999,5,-32,-61,-35
TOOL,PT Rohartindo Nusantara Luas Tbk,9-Aug-22,Consumer Cyclicals,PT Mirae Asset Sekuritas Indonesia,pengembangan,lainnya,2050000000,0.2,modal belanja,rupiah,1.34793E+11,32596983842,20698125655,8364811411,3463976118,127,999,9,-14,-41,-54
ELPI,PT Pelayaran Nasional Ekalya Purnamasari Tbk,8-Aug-22,Transportation & Logistic,PT Trimegah Sekuritas Indonesia Tbk,utama,lainnya,7412000000,0.15,modal belanja,rupiah,1.64442E+12,2.79414E+11,1.26398E+11,36363000000,26130000000,200,999,37,14,3,16
RAFI,PT Sari Kreasi Boga Tbk,5-Aug-22,Consumer Cyclicals,PT Investindo Nusantara Sekuritas; PT KB Valbury Sekuritas,pemantauan khusus,lainnya,3020290000,0.3031,modal kerja,rupiah,80965554693,28142205850,32454034913,9655464978,5129672532,126,999,39,84,-8,-49
AXIO,PT Tera Data Indonusa Tbk,20-Jul-22,Technology,PT BNI Sekuritas; PT CIMB Niaga Sekuritas,pengembangan,lainnya,5840126500,0.1781,modal kerja,rupiah,7.12498E+11,4.42568E+11,1.32847E+11,22730000000,2912000000,140,999,54,103,43,-4
