ownership,papan_pencatatan,ipo_raised_fund,float,price_cat,underwriter_freq_cat,underwriter_avg_aset_cat,underwriter_highest_short_rep,underwriter_highest_mid_rep,underwriter_highest_long_rep,underwriter_has_bigbank,total_aset_cat,equity,leverage_ratio,revenue,turnover_ratio,per,pbv,1d,1w,1m,6m,1y
3,0,35410239426.4,0.0956,0,2,0,2,2,0,0,1,273000000000.0,0.978021978021978,271000000000.0,0.5018518518518519,-65.94267295709453,1.3567765347985348,0,1,1,0,0
1,1,2793937500000.0,0.15,2,2,2,1,1,0,1,2,2220000000000.0,3.09009009009009,4960000000000.0,0.5462555066079295,12.500838926174497,8.390202702702702,2,0,0,0,0
3,4,618359096880.0,0.15,3,1,2,2,0,2,1,2,1900000000000.0,10.31578947368421,1210000000000.0,0.05627906976744186,38.17031462222222,2.1696810416842105,0,0,0,2,2
1,0,212366724888.384,0.0726,1,2,2,2,2,2,0,2,1050000000000.0,1.0571428571428572,1150000000000.0,0.5324074074074074,24.789504235932203,2.785868095085714,0,1,1,2,2
3,1,50000000000.0,0.25,0,2,1,2,2,1,1,0,30838531691.0,0.46561218639960444,194000000000.0,4.292289150672742,100.0,6.485393079151319,0,1,1,2,2
1,1,157575000000.0,0.2,1,2,0,0,0,0,0,1,252000000000.0,0.5238095238095238,77773818670.0,0.20253598611979168,99.95859636595596,3.1264880952380953,0,0,0,0,0
3,1,40500432000.0,0.3304,1,0,0,2,2,0,0,0,34490000000.0,1.118962017976225,120000000000.0,1.6419687204958746,50.757763975155285,3.5540736445346477,0,1,1,0,0
3,1,29999997000.0,0.25,0,2,1,2,2,1,0,0,44990019000.0,0.4599593300905252,1949418000.0,0.029678916188482854,-494.3906757909222,2.6672579978239175,0,0,0,0,0
3,0,504889520000.0,0.1,2,0,1,2,0,0,0,2,2480000000000.0,0.9758064516129032,1160000000000.0,0.23673469387755103,16.829650666666666,2.0358448387096773,0,1,1,2,2
3,4,239976395775.39,0.1517,0,2,1,1,0,1,0,2,854000000000.0,0.6627634660421545,114000000000.0,0.08028169014084507,-167.362414340211,1.852358637822014,1,0,0,0,0
2,2,49989722420.025,0.2001,1,2,2,2,2,0,1,0,32435092590.0,0.09024378539626669,176194433.0,0.0049825701354871705,-97.57715484229281,7.7022656727985614,2,1,1,0,0
3,1,50116888800.0,0.2999,0,2,0,1,0,0,0,1,150136185381.0,0.3254632751924427,32191782983.0,0.1617677536834171,100.0,1.113069441426932,0,1,1,2,2
1,1,1169192409088.0,0.1004,2,2,2,2,2,2,1,2,3300000000000.0,4.333333333333333,6430000000000.0,0.3653409090909091,-13.86350323809524,3.5288917333333334,0,1,1,2,2
3,1,319808200000.0,0.2,2,0,1,2,0,0,0,1,513000000000.0,0.41130604288499023,184000000000.0,0.2541436464088398,42.659888927739814,3.1170389863547756,0,1,0,0,0
3,2,29748250000.0,0.2,0,2,1,2,1,0,0,0,36983926036.0,0.6040392566017623,8407913402.0,0.1417294903002521,56.21662068875622,4.021780971961059,0,0,1,0,0
3,1,76043863724.01001,0.3017,0,2,1,1,1,1,0,1,59000000000.0,2.5762711864406778,42163719743.0,0.19982805565402845,100.0,4.272055174576271,0,1,1,0,0
3,1,39189171000.0,0.1211,1,2,1,2,0,0,0,1,94443156122.0,0.10119149200874479,46703489538.0,0.44907201478846154,28.61005221896635,3.4265055647014417,0,1,0,0,0
0,1,18460255696637.758,0.2763,2,2,2,2,2,0,1,2,13700000000000.0,1.3576642335766422,3230000000000.0,0.1,95.31007457232525,4.8768147646131395,1,0,0,0,0
3,1,493535223999.99994,0.1508,1,2,1,1,0,0,1,2,625000000000.0,0.936,1170000000000.0,0.9669421487603306,69.42353253300504,5.236448,0,1,0,2,0
3,1,60030000000.0,0.2,0,2,1,2,1,2,0,1,278000000000.0,0.5035971223021583,141000000000.0,0.3373205741626794,100.0,1.0796762589928057,2,0,0,0,0
3,4,706997408000.0,0.1502,0,2,2,2,2,0,1,2,1570000000000.0,1.6624203821656052,2710000000000.0,0.6483253588516746,37.35746031746032,2.9981146496815287,1,0,0,0,0
3,0,3665823546000.0,0.15,3,2,2,1,0,2,1,2,697000000000.0,0.994261119081779,1580000000000.0,1.1366906474820144,66.95568120547945,10.0,2,1,1,2,2
3,1,86520169440.0,0.2187,1,2,1,1,1,1,0,1,51000000000.0,4.254901960784314,147000000000.0,0.5485074626865671,100.0,7.757082352941176,1,0,0,0,2
2,2,29190000000.0,0.2,0,2,0,1,0,0,0,0,21427132131.0,0.10842831050818613,10558176845.0,0.4445465812054301,79.66501019866875,6.811457506664871,0,1,1,2,2
3,0,180250000000.0,0.2,1,2,1,2,1,2,0,1,465000000000.0,1.5161290322580645,414000000000.0,0.35384615384615387,22.977814260813734,1.9381720430107525,1,1,1,2,2
3,0,5767442351470.8,0.1001,2,2,2,2,2,0,1,2,3240000000000.0,0.8950617283950617,2700000000000.0,0.43973941368078173,95.55025988059701,10.0,1,0,0,0,0
3,1,32755536000.0,0.2486,0,2,0,1,0,0,0,0,70367134356.0,0.0,46878911585.0,0.6662046424660574,50.10960310029027,1.8724650535490397,1,0,0,0,2
3,4,100004000000.0,0.2174,0,2,1,1,0,0,1,1,183487424000.0,0.024593380307088512,17770838000.0,0.0945257340425532,100.0,2.5069838028790463,0,1,1,2,2
3,1,30998911900.0,0.2477,0,2,1,1,0,0,1,0,31137000000.0,0.4136236631660083,22578000000.0,0.5129498364231189,100.0,4.019237563027909,0,1,1,2,0
3,1,43295265000.0,0.2,0,2,0,1,0,1,0,1,55000000000.0,2.8727272727272726,29289955455.0,0.1375115279577465,61.30039762157952,3.9359331818181817,0,1,1,2,2
1,0,352941172500.0,0.15,1,2,2,2,2,2,1,2,640000000000.0,2.0625,1310000000000.0,0.6683673469387755,23.529411500000002,3.676470546875,1,1,1,2,2
1,0,613234972500.0,0.15,0,2,2,2,2,2,0,2,700000000000.0,15.571428571428571,2950000000000.0,0.2543103448275862,6.367964408099688,5.840333071428571,0,1,1,2,2
3,1,62457696000.0,0.2576,0,2,1,1,1,1,0,1,62877774351.0,1.337869008839403,60908982311.0,0.41434681844217686,48.88605191713594,3.856052516212256,0,1,1,2,0
1,1,652613364736.0,0.2,1,2,2,2,2,2,0,1,269000000000.0,0.6022304832713755,135000000000.0,0.31322505800464034,100.0,10.0,0,1,0,0,0
1,1,200881153696.048,0.0437,0,2,1,1,1,1,0,2,30000000000.0,56.333333333333336,283000000000.0,0.16453488372093023,-37.99027057057852,10.0,0,1,1,2,2
3,4,145008000000.0,0.3021,0,2,1,1,0,0,1,1,46698000000.0,0.8221551244164632,66796000000.0,0.7849948878259746,89.90447649372541,10.0,0,1,1,0,0
3,1,368333356000.0,0.2,2,2,1,1,0,0,1,1,81000000000.0,6.518518518518518,673000000000.0,1.1050903119868638,-34.69082994273659,10.0,1,0,0,2,2
3,1,70011000000.0,0.2593,0,2,0,2,2,1,0,0,23569110432.0,1.5986012134274172,39326661671.0,0.6421023417033536,100.0,10.0,0,0,0,0,0
0,1,288888888600.0,0.1,0,2,2,1,2,2,1,2,2010000000000.0,1.736318407960199,268000000000.0,0.04872727272727273,67.7356558532201,1.437258152238806,1,0,0,0,0
3,2,65993004000.0,0.1995,1,2,0,0,0,1,0,1,124952429701.0,0.056402026882263964,127000000000.0,0.9621212121212122,26.91705932854191,2.6473434793669535,1,0,0,0,2
3,0,527287098936.00006,0.0806,2,2,2,1,0,0,1,2,2910000000000.0,0.9553264604810997,4180000000000.0,0.7346221441124781,8.126737341614907,2.24811806185567,0,1,1,2,2
2,2,128507150000.0,0.2999,0,2,1,1,0,0,1,0,39025000000.0,0.08812299807815503,18213000000.0,0.4289044837980407,100.0,10.0,0,1,0,0,0
3,1,54966695000.0,0.25,0,2,2,2,2,1,1,1,49994160000.0,1.500292034109584,123000000000.0,0.984,100.0,4.397849268794595,0,1,0,2,2
2,1,400483742400.0,0.2,0,2,2,2,2,2,0,1,143000000000.0,1.1118881118881119,555000000000.0,1.8377483443708609,100.0,10.0,0,1,1,2,0
