underwriter,freq,avg_aset,avg_jumlah,avg_aset_category,freq_category,1D_ARA,1D_plus,1D_minus,1M_good,1M_bad,1Y_plus,1Y_minus,short_rep,mid_rep,long_rep,bigbank
PT Surya Fajar Sekuritas,11.0,189493654362.81818,105947892314.21817,low,high,7.0,3.0,1.0,8.0,3.0,4.0,7.0,alpha,alpha,gamma,no
PT BNI Sekuritas,9.0,38983555555555.555,4461378716912.742,high,high,3.0,6.0,0.0,6.0,3.0,4.0,5.0,beta,beta,gamma,yes
PT Mandiri Sekuritas,15.0,28246333333333.332,6182559109867.955,high,high,2.0,10.0,3.0,4.0,9.0,5.0,6.0,beta,gamma,gamma,yes
PT Citigroup Sekuritas Indonesia,2.0,21340000000000.0,6393589137500.0,high,low,0.0,2.0,0.0,0.0,2.0,0.0,2.0,gamma,gamma,gamma,no
PT Credit Suisse Sekuritas Indonesia,6.0,41803333333333.336,8209206448161.8,high,high,0.0,5.0,1.0,1.0,5.0,2.0,4.0,gamma,gamma,gamma,yes
PT UOB Kay Hian Sekuritas,27.0,1987357502291.2222,628691979093.846,mid,high,14.0,11.0,2.0,13.0,14.0,9.0,14.0,beta,gamma,gamma,no
PT BCA Sekuritas,3.0,13263333333333.334,2969499478996.267,high,mid,2.0,1.0,0.0,2.0,1.0,3.0,0.0,alpha,gamma,alpha,no
PT Ciptadana Sekuritas Asia,10.0,6662300000000.0,1472901888372.1184,high,high,8.0,2.0,0.0,8.0,2.0,7.0,3.0,alpha,alpha,alpha,no
PT Mirae Asset Sekuritas Indonesia,20.0,1188168751291.9,250066988142.71524,mid,high,9.0,6.0,5.0,12.0,8.0,8.0,12.0,beta,gamma,gamma,no
PT NH Korindo Sekuritas Indonesia,23.0,3295831201807.2173,86240448599.9427,mid,high,11.0,5.0,7.0,12.0,11.0,9.0,13.0,beta,beta,beta,no
PT RHB Sekuritas Indonesia,4.0,153295293779.25,93650564080.0,low,high,3.0,0.0,1.0,0.0,4.0,0.0,3.0,gamma,gamma,gamma,yes
PT Korea Investment And Sekuritas Indonesia,2.0,92541500000.0,82750216000.0,low,low,2.0,0.0,0.0,2.0,0.0,0.0,2.0,alpha,alpha,gamma,no
PT Buana Capital Sekuritas,2.0,2812000000000.0,412348860000.0,mid,low,2.0,0.0,0.0,1.0,1.0,1.0,1.0,alpha,gamma,gamma,yes
PT Reliance Sekuritas Indonesia Tbk,5.0,1327600000000.0,178835603380.078,mid,high,2.0,2.0,1.0,3.0,2.0,2.0,2.0,beta,gamma,beta,no
