underwriter,freq,avg_aset,avg_jumlah,avg_aset_category,freq_category
PT Surya Fajar Sekuritas,10,171519819799.1,104042681545.63998,low,high
PT UOB Kay Hian Sekuritas,27,1987166280069.0,628691979093.846,mid,high
PT KGI Sekuritas Indonesia,22,230707002460.36365,92448844321.90909,low,high
PT Panca Global Sekuritas,6,6017119993842.333,173380971768.33334,mid,mid
PT Yuanta Sekuritas Indonesia,2,1259179500000.0,212517990000.0,mid,low
PT Aartha Sekuritas Indonesia,3,929078666666.6666,195340770000.0,mid,mid
PT  Surya Fajar Sekuritas,2,2271852000000.0,415998704000.0,mid,low
PT MNC Sekuritas,11,306141359557.0,99858838477.27272,low,high
PT Erdikha Elit Sekuritas,11,298583300938.2727,105952052859.35565,low,high
PT Mirae Asset Sekuritas Indonesia,20,1188475951291.9,250066988142.71524,mid,high
PT Trimegah Sekuritas Indonesia Tbk,15,14407487185840.8,2564513833436.4053,mid,high
PT Investindo Nusantara Sekuritas,3,21885788518231.0,6314187461303.919,high,mid
PT KB Valbury Sekuritas,14,15128433392463.215,3056033564507.983,mid,high
PT BNI Sekuritas,9,39021976444444.445,4470001175134.965,high,high
PT CIMB Niaga Sekuritas,10,18008328800000.0,2307939929612.7,mid,high
PT Panin Sekuritas Tbk,9,21067535047983.777,4050027933069.174,high,high
PT Binaartha Sekuritas,3,11233237009994.334,185532864868.224,mid,mid
PT Artha Sekuritas Indonesia,3,46723204746.0,92689445363.33333,low,mid
PT Korea Investment And Sekuritas Indonesia,2,92430000000.0,82750216000.0,low,low
PT NH Korindo Sekuritas Indonesia,23,3297567462676.7827,86240448599.9427,mid,high
PT Ciptadana Sekuritas Asia,10,6660128300000.0,1472861184372.1184,mid,high
PT Semesta Indovest Sekuritas,7,1845421463474.5715,186332565894.69998,mid,mid
PT Danatama Makmur Sekuritas,7,225135384248.2857,108904942142.85715,low,mid
PT Samuel Sekuritas Indonesia,13,14665688906124.385,3234167720620.6455,mid,high
PT Sucor Sekuritas,11,18812493254509.727,2380730763592.6367,mid,high
PT Victoria Sekuritas Indonesia,7,322781418406.0,97458573184.0,mid,mid
PT Shinhan Sekuritas Indonesia,15,304668354085.26666,95519035580.66667,low,high
PT Lotus Andalan Sekuritas,9,4122645557666.6665,123422943128.92445,mid,high
PT Waterfront Sekuritas Indonesia,1,70588409490.0,118046016090.0,low,low
PT Reliance Sekuritas Indonesia Tbk,5,1326987000000.0,178835603380.078,mid,mid
PT BRI Danareksa Sekuritas,13,12787177858317.309,3115648381284.7495,mid,high
PT Wanteg Sekuritas,3,247412029057.0,122903935000.0,low,mid
PT Indo Premier Sekuritas,8,26543822375000.0,4305102305812.375,high,mid
PT RHB Sekuritas Indonesia,4,153369293779.25,93650564080.0,low,mid
PT Mandiri Sekuritas,15,28271482933333.332,6188066424801.288,high,high
PT OSO Sekuritas,1,52084891107.0,59493000000.0,low,low
PT Buana Capital Sekuritas,2,2813274500000.0,412348860000.0,mid,low
PT UBS Sekuritas Indonesia,4,14825820000000.0,4494651680139.7,mid,mid
PT BCA Sekuritas,3,13264123333333.334,2980186978996.267,mid,mid
PT DBS Vickers Sekuritas Indonesia,4,39330262500000.0,7311140820436.24,high,mid
PT Henan Putihrai Sekuritas,3,1886653000000.0,420047393580.0,mid,mid
PT Maybank Sekuritas Indonesia,4,27826227500000.0,3021269423277.2397,high,mid
PT Pilarmas Investindo Sekuritas,1,188554000000.0,179622900600.0,low,low
PT CLSA Sekuritas Indonesia,5,57869564000000.0,7601392510061.792,high,mid
PT Phillip Sekuritas Indonesia,4,1145626917306.25,180798533116.25,mid,mid
PT Indo Capital Sekuritas,9,229891446886.66666,76584083333.33333,low,high
PT J.P. Morgan Sekuritas Indonesia,2,19507475000000.0,10355285348318.879,high,low
PT Elit Sukses Sekuritas,6,46625736331.5,31199909583.333332,low,mid
PT Nilai Inti Sekuritas,1,148213000000000.0,13730759223999.998,high,low
PT Credit Suisse Sekuritas Indonesia,6,41835673333333.336,8222974735495.133,high,mid
PT Deutsche Sekuritas Indonesia,1,148213000000000.0,13730759223999.998,high,low
PT Aldiracita Sekuritas Indonesia,2,88485600000000.0,11261208092000.0,high,low
PT Macquarie Sekuritas Indonesia,2,15926495000000.0,4672231605000.0,mid,low
PT Korea Investment and Sekuritas Indonesia,1,15186124530.0,49997500000.0,low,low
PT OCBC Sekuritas Indonesia,3,11578533666666.666,3436278212500.0,mid,mid
PT Mega Capital Sekuritas,1,354526000000.0,338320446030.0,mid,low
PT Profindo Sekuritas Indonesia,1,93374827334.0,55678297600.0,low,low
PT Yulie Sekuritas Indonesia Tbk,5,12346864000000.0,5581274075140.552,mid,mid
PT Danasakti Sekuritas Indonesia,5,19062556000000.0,8346666498614.711,mid,mid
PT BNP Paribas Securities Indonesia,1,33592300000000.0,9993240775000.0,high,low
PT Citigroup Sekuritas Indonesia,2,21338155000000.0,6393589137500.0,high,low
PT Morgan Stanley Sekuritas Indonesia,3,18420776666666.668,10741586849369.52,mid,mid
PT HSBC Sekuritas Indonesia,2,34686600000000.0,13757830879568.879,high,low
PT Bahana Sekuritas,1,37117800000000.0,9055406062500.0,high,low
PT Indosurya Bersinar Sekuritas,1,5503980000000.0,288888888600.0,mid,low
