iter	Logloss
0	0.6859428604
1	0.6780508462
2	0.6749750113
3	0.6684529193
4	0.663055519
5	0.6554880018
6	0.6496626619
7	0.642938391
8	0.6369915256
9	0.6318260292
10	0.6262085159
11	0.62164916
12	0.6148199106
13	0.6107225294
14	0.6069738215
15	0.6003929733
16	0.5981569166
17	0.5924920416
18	0.5871207497
19	0.5840604708
20	0.5786066427
21	0.5752487183
22	0.5718649332
23	0.56782611
24	0.562312634
25	0.5577096815
26	0.5536755153
27	0.5484325855
28	0.544739364
29	0.542111533
30	0.5391947759
31	0.5369201759
32	0.533057572
33	0.5288258837
34	0.5261658012
35	0.5223507572
36	0.5193506711
37	0.5155725851
38	0.5132120801
39	0.5109549683
40	0.5073692025
41	0.5052709703
42	0.5017798783
43	0.4995520455
44	0.4956283569
45	0.4942142932
46	0.4918377864
47	0.4902302135
48	0.4875196977
49	0.4861389259
50	0.4833788686
51	0.4801387539
52	0.4774134252
53	0.4751757337
54	0.4729618221
55	0.4697274542
56	0.4676287267
57	0.4656895724
58	0.4639458594
59	0.462118669
60	0.4595640108
61	0.4580379337
62	0.4555566466
63	0.4531481854
64	0.4520815564
65	0.4507783171
66	0.4481494458
67	0.4451077944
68	0.4425021085
69	0.4403630046
70	0.4375900665
71	0.4348149485
72	0.432329698
73	0.4310900205
74	0.4290714016
75	0.426517437
76	0.4248087004
77	0.4226124751
78	0.4197393145
79	0.4178860157
80	0.4157611797
81	0.4140144943
82	0.4118046451
83	0.4088584107
84	0.4073906936
85	0.404979904
86	0.4042313563
87	0.4024148916
88	0.4006855457
89	0.397414096
90	0.3962509353
91	0.3944413817
92	0.3926318032
93	0.3908580929
94	0.3889245615
95	0.386505771
96	0.3850059014
97	0.382782676
98	0.3816663816
99	0.3787313189
100	0.3753976698
101	0.3738023832
102	0.3722576042
103	0.3710663288
104	0.3679693643
105	0.3662626836
106	0.3641609093
107	0.3625213326
108	0.3602159178
109	0.358982111
110	0.3577668822
111	0.3563636433
112	0.3545377657
113	0.3524647502
114	0.3506616122
115	0.3487402681
116	0.347089272
117	0.3452036474
118	0.343379578
119	0.3425606071
120	0.3413698518
121	0.3392562866
122	0.3377995181
123	0.336195859
124	0.335316819
125	0.3338157852
126	0.3321034815
127	0.3310966987
128	0.3298119879
129	0.3283380038
130	0.3274349361
131	0.325973263
132	0.3247409177
133	0.323736711
134	0.3224588617
135	0.3206191868
136	0.3176438963
137	0.3155974846
138	0.3147354126
139	0.3134370531
140	0.3115023328
141	0.3106143506
142	0.3089204268
143	0.3068525636
144	0.3052483596
145	0.303827905
146	0.3030850299
147	0.3024520379
148	0.3011975474
149	0.3000046371
150	0.2993218806
151	0.2986317424
152	0.2976250587
153	0.2965935546
154	0.2944320084
155	0.2933557931
156	0.2922525034
157	0.2903982138
158	0.2887430067
159	0.2872563647
160	0.2865570861
161	0.2849637316
162	0.2838428547
163	0.2826275516
164	0.2813092517
165	0.2790537252
166	0.2775857603
167	0.2763432094
168	0.2751553028
169	0.2738940004
170	0.2724386438
171	0.271923412
172	0.270761366
173	0.2700069477
174	0.2688903809
175	0.2678084435
176	0.266410035
177	0.2653317142
178	0.2638933751
179	0.2624572655
180	0.2612263073
181	0.259780859
182	0.2586615674
183	0.2570345742
184	0.2558107748
185	0.2546654243
186	0.2534812333
187	0.2525432141
188	0.2513860232
189	0.2502689114
190	0.2484487806
191	0.2475777415
192	0.2459458686
193	0.2450029447
194	0.2441732976
195	0.2430965869
196	0.2413885191
197	0.2404850551
198	0.2387478073
199	0.2381293309
200	0.2358736558
201	0.2349898103
202	0.234120852
203	0.2330670047
204	0.2319721618
205	0.230868451
206	0.230065482
207	0.2292320945
208	0.2268637125
209	0.225253712
210	0.2233850058
211	0.2227012832
212	0.2214459011
213	0.2198309465
214	0.2185049924
215	0.2172893921
216	0.2166198631
217	0.2157850885
218	0.2144012947
219	0.2137764522
220	0.2123241177
221	0.2103598211
222	0.2087918814
223	0.2079267626
224	0.2071797507
225	0.2059315149
226	0.2045956649
227	0.2035564695
228	0.2025443981
229	0.201378265
230	0.2001000813
231	0.1987020443
232	0.1979458673
233	0.197138873
234	0.1962601303
235	0.1953105679
236	0.1942636936
237	0.1930395102
238	0.1921682482
239	0.1910068462
240	0.1898202401
241	0.187945948
242	0.1871171183
243	0.1860827657
244	0.185509917
245	0.1840851276
246	0.1832657727
247	0.1824196407
248	0.1813661278
249	0.1799666417
250	0.179141057
251	0.1781989259
252	0.1774879679
253	0.1768744209
254	0.1758209451
255	0.1753436745
256	0.1745765116
257	0.1741565605
258	0.1730074944
259	0.1721770918
260	0.1713287923
261	0.1703540009
262	0.1694648545
263	0.1690236872
264	0.1684109329
265	0.1676598091
266	0.1666207499
267	0.1659383526
268	0.1655234795
269	0.1641533344
270	0.1631024844
271	0.1619173521
272	0.1612775109
273	0.160475669
274	0.1600609817
275	0.1594057702
276	0.1589008183
277	0.1585178128
278	0.1581023823
279	0.1575630485
280	0.1573171863
281	0.1568207927
282	0.1561175507
283	0.1552688425
284	0.1548919925
285	0.1544463789
286	0.1540651198
287	0.1532822275
288	0.1527000155
289	0.1518767964
290	0.1511065248
291	0.1500716024
292	0.1494883996
293	0.1489100394
294	0.1478135245
295	0.1468978114
296	0.1460451894
297	0.1452789183
298	0.1445815223
299	0.1436372484
300	0.1433014312
301	0.1427438662
302	0.1418678853
303	0.1414551425
304	0.1406430827
305	0.1398770345
306	0.1391443525
307	0.1383815864
308	0.1379123044
309	0.1372310341
310	0.1365403757
311	0.1359448495
312	0.1354600361
313	0.1350296318
314	0.1344563497
315	0.1338397682
316	0.133552093
317	0.1328875554
318	0.1325339899
319	0.1321038581
320	0.1316982616
321	0.1312404856
322	0.1305520194
323	0.1300287247
324	0.1295024079
325	0.129240036
326	0.1286188472
327	0.1282747194
328	0.1277992942
329	0.1273189148
330	0.1266785411
331	0.1261405573
332	0.1258861492
333	0.1254600178
334	0.1250069854
335	0.1241099865
336	0.1234193777
337	0.1230507145
338	0.1228110078
339	0.1223834397
340	0.1220788336
341	0.1217463605
342	0.1212074354
343	0.1206593452
344	0.1202192307
345	0.1194415278
346	0.1188254294
347	0.1183636901
348	0.1176664922
349	0.1169381575
350	0.1167268505
351	0.1164870696
352	0.1161026273
353	0.1158898217
354	0.1152882514
355	0.1149017161
356	0.1146180413
357	0.1143318771
358	0.113696507
359	0.113155365
360	0.1126715796
361	0.1121218297
362	0.1119032525
363	0.1113505673
364	0.110881149
365	0.1105373928
366	0.1098964741
367	0.1094375462
368	0.1087989436
369	0.1082921214
370	0.1078754029
371	0.1070911358
372	0.1067406791
373	0.1061963416
374	0.1057320137
375	0.1053055478
376	0.1050668196
377	0.1048497287
378	0.1044691135
379	0.1038628863
380	0.1032662763
381	0.1028382314
382	0.1024993983
383	0.1020936718
384	0.101805173
385	0.1012735615
386	0.1010229804
387	0.1006578222
388	0.1001202658
389	0.0998847144
390	0.09967260856
391	0.09918864362
392	0.09873360473
393	0.09841315158
394	0.098044092
395	0.09761314888
396	0.09734356868
397	0.0970844789
398	0.0967747391
399	0.09637724889
400	0.09609167297
401	0.09576125578
402	0.0955280948
403	0.09528123558
404	0.09491474597
405	0.09458090423
406	0.0944312331
407	0.09402206966
408	0.09367660423
409	0.09347700144
410	0.09305291362
411	0.09255269286
412	0.09224137393
413	0.09185779869
414	0.09156570187
415	0.09139625128
416	0.09116473136
417	0.09070012477
418	0.09048409276
419	0.09001435862
420	0.08969114353
421	0.0894509043
422	0.08921568734
423	0.08885348927
424	0.08838870928
425	0.08813049886
426	0.08772632673
427	0.08729379827
428	0.08713693123
429	0.08691515861
430	0.08657735354
431	0.086557475
432	0.08629114597
433	0.08595997947
434	0.08568773641
435	0.08544440084
436	0.08502483987
437	0.08487899582
438	0.08454246026
439	0.08433851638
440	0.08409808518
441	0.08376116567
442	0.08343758521
443	0.08312575848
444	0.08282351803
445	0.08256162297
446	0.08226491879
447	0.08211270246
448	0.08190037368
449	0.08169555664
450	0.08160068462
451	0.0814039057
452	0.08113075851
453	0.08086986046
454	0.08061394134
455	0.08039922838
456	0.08011403641
457	0.07994515555
458	0.07959074169
459	0.07930044694
460	0.07901848137
461	0.0788939154
462	0.07868156805
463	0.07841122615
464	0.07830364673
465	0.0781520249
466	0.07800000674
467	0.07782825866
468	0.07771232531
469	0.07745226947
470	0.07716354766
471	0.07691378408
472	0.0766724797
473	0.0764377272
474	0.07623163446
475	0.07606709468
476	0.07573051576
477	0.07549708849
478	0.0752846916
479	0.07497903898
480	0.07488335572
481	0.07471194825
482	0.07447878107
483	0.07414864255
484	0.07410019714
485	0.07394127412
486	0.07368424651
487	0.07353444533
488	0.07326900185
489	0.07286395036
490	0.07264743532
491	0.0724012635
492	0.07231416331
493	0.07215316574
494	0.07187515729
495	0.07171566455
496	0.07137322735
497	0.07097724196
498	0.07080016198
499	0.07056677806
