iter	RMSE
0	514.9000649
1	503.3666132
2	490.5425551
3	479.6827659
4	466.0794583
5	453.321411
6	443.2546764
7	432.5296459
8	424.8303386
9	414.3834421
10	404.7584494
11	398.1449486
12	389.1847289
13	380.7833883
14	372.7563514
15	364.602954
16	356.8184656
17	348.7416692
18	341.3467615
19	333.2777097
20	326.2915382
21	319.0675296
22	310.7497875
23	303.3160649
24	296.4779536
25	287.7247368
26	282.6663383
27	275.8753301
28	269.9865996
29	263.1474231
30	256.5236432
31	251.4231924
32	245.6524744
33	239.5123829
34	233.4310289
35	228.0578159
36	223.3453616
37	218.1234987
38	214.5748472
39	209.6189328
40	205.2478738
41	200.3176601
42	195.8271976
43	192.1672758
44	187.7129728
45	183.3169995
46	179.2518695
47	175.1843317
48	171.7240341
49	168.495945
50	164.6443681
51	160.7988848
52	157.1159511
53	152.7601352
54	150.1202307
55	148.1065529
56	144.8575851
57	141.5230656
58	138.3861903
59	135.3665194
60	132.4869762
61	129.5496014
62	127.345529
63	124.5579239
64	122.6738828
65	120.0800342
66	117.5142985
67	114.936954
68	112.4323033
69	109.9975925
70	107.6694193
71	105.4030718
72	103.2848605
73	101.0526731
74	98.98391559
75	97.18358411
76	95.19274928
77	93.23327192
78	91.36676957
79	89.58555006
80	87.82728423
81	86.04168036
82	84.56518845
83	83.17783812
84	81.73762595
85	80.44677367
86	78.86982498
87	77.34112539
88	75.9171224
89	74.55354582
90	73.18175916
91	71.91953848
92	70.6689556
93	69.41320376
94	67.65696914
95	66.47102654
96	65.23843291
97	64.69892165
98	63.60915188
99	62.59887391
100	61.76060625
101	60.24924079
102	58.59905378
103	57.35096514
104	56.49175606
105	55.50237583
106	54.11836919
107	53.09960301
108	52.37744381
109	51.53015354
110	50.71863151
111	49.96851863
112	49.1434274
113	48.39621614
114	47.68136074
115	46.98742127
116	46.09080558
117	44.91620918
118	44.38750477
119	43.77208366
120	43.27833441
121	42.37956072
122	41.63868812
123	40.67989497
124	40.2474687
125	39.23035193
126	38.44882897
127	38.036359
128	37.19308037
129	36.58744184
130	36.23021664
131	35.50841047
132	34.94802119
133	34.60294032
134	33.54723449
135	32.86231872
136	32.14756193
137	31.46065299
138	30.8781977
139	30.17241901
140	29.71702702
141	29.46168649
142	28.88902564
143	28.19596559
144	27.90874103
145	27.13594238
146	26.66990583
147	26.1719365
148	25.67682064
149	25.15858749
150	24.79412265
151	24.12918188
152	23.62679114
153	23.16115316
154	22.82609977
155	22.37221891
156	21.86423761
157	21.40930053
158	20.90208807
159	20.57057096
160	20.25895216
161	19.92007
162	19.53975687
163	19.15600089
164	18.85933974
165	18.66086998
166	18.35804592
167	18.2157679
168	17.86160533
169	17.52653805
170	17.22696738
171	17.00421024
172	16.78786756
173	16.52446601
174	16.26900003
175	15.97158729
176	15.65707653
177	15.37207076
178	15.1413226
179	15.04714784
180	14.84832744
181	14.50646345
182	14.2507727
183	13.92217952
184	13.72766977
185	13.51958377
186	13.25445945
187	13.07045176
188	12.92772815
189	12.64904787
190	12.43283287
191	12.21478693
192	11.9837357
193	11.75773422
194	11.55236265
195	11.34780145
196	11.10209478
197	10.96579052
198	10.69761624
199	10.49255502
200	10.42715078
201	10.1411814
202	10.03069922
203	9.912461684
204	9.706524488
205	9.61808417
206	9.45754894
207	9.291451487
208	9.106743884
209	8.910193835
210	8.736266327
211	8.502272076
212	8.352018869
213	8.174857697
214	8.057269432
215	7.936947921
216	7.817385919
217	7.701867295
218	7.635049134
219	7.489068024
220	7.461080935
221	7.319090597
222	7.24004296
223	7.135625767
224	6.998239636
225	6.878626893
226	6.724629218
227	6.643559456
228	6.589532611
229	6.441154239
230	6.331408877
231	6.305875986
232	6.163694225
233	6.03466329
234	5.93547292
235	5.881129749
236	5.781626823
