iter	Passed	Remaining
0	3	3067
1	5	2732
2	7	2413
3	9	2320
4	11	2218
5	12	2138
6	14	2125
7	17	2123
8	18	2068
9	20	2046
10	22	2006
11	24	2028
12	26	2015
13	28	1992
14	30	1974
15	31	1957
16	33	1951
17	35	1928
18	37	1912
19	39	1948
20	41	1930
21	43	1915
22	44	1905
23	46	1893
24	48	1881
25	50	1874
26	51	1864
27	54	1878
28	56	1878
29	57	1865
30	59	1854
31	61	1850
32	63	1848
33	64	1840
34	67	1851
35	68	1847
36	71	1849
37	72	1843
38	74	1835
39	76	1826
40	77	1823
41	79	1816
42	81	1812
43	83	1809
44	85	1805
45	86	1800
46	88	1796
47	90	1790
48	91	1779
49	93	1772
50	95	1770
51	97	1769
52	98	1764
53	100	1761
54	102	1758
55	103	1752
56	105	1748
57	106	1735
58	108	1730
59	110	1725
60	112	1724
61	113	1722
62	115	1719
63	117	1715
64	119	1712
65	120	1711
66	122	1707
67	124	1705
68	126	1703
69	127	1700
70	129	1698
71	131	1695
72	133	1691
73	134	1689
74	136	1685
75	138	1682
76	140	1680
77	141	1677
78	143	1673
79	145	1671
80	147	1670
81	148	1667
82	150	1664
83	152	1662
84	154	1658
85	155	1655
86	157	1650
87	159	1648
88	160	1646
89	162	1644
90	164	1643
91	166	1639
92	167	1636
93	169	1637
94	171	1636
95	173	1634
96	175	1633
97	177	1632
98	178	1628
99	180	1627
100	182	1627
101	184	1625
102	186	1623
103	188	1621
104	189	1618
105	191	1613
106	193	1612
107	195	1611
108	197	1614
109	199	1611
110	200	1609
111	202	1607
112	204	1604
113	206	1601
114	207	1598
115	209	1596
116	211	1594
117	213	1594
118	215	1594
119	217	1592
120	219	1592
121	221	1592
122	223	1592
123	224	1589
124	226	1588
125	229	1589
126	230	1587
127	232	1585
128	234	1583
129	236	1579
130	237	1578
131	239	1573
132	241	1571
133	242	1569
134	244	1566
135	246	1564
136	247	1561
137	249	1559
138	251	1557
139	253	1555
140	255	1554
141	256	1551
142	258	1549
143	260	1548
144	262	1546
145	263	1543
146	265	1540
147	267	1539
148	269	1536
149	270	1534
150	272	1534
151	274	1532
152	276	1529
153	278	1528
154	279	1526
155	281	1523
156	283	1523
157	285	1521
158	287	1518
159	289	1517
160	290	1515
161	292	1512
162	293	1509
163	295	1507
164	297	1507
165	299	1505
166	301	1503
167	303	1501
168	304	1499
169	306	1497
170	308	1494
171	310	1492
172	312	1491
173	313	1489
174	315	1487
175	317	1485
176	318	1482
177	320	1480
178	322	1477
179	323	1475
180	325	1473
181	327	1472
182	329	1470
183	331	1468
184	332	1466
185	334	1465
186	336	1463
187	338	1460
188	339	1457
189	341	1455
190	342	1452
191	344	1450
192	346	1448
193	348	1446
194	349	1444
195	351	1442
196	353	1440
197	355	1438
198	356	1436
199	358	1434
200	360	1431
201	361	1429
202	363	1427
203	365	1425
204	367	1423
205	368	1420
206	370	1417
207	371	1415
208	373	1413
209	375	1411
210	376	1409
211	378	1407
212	380	1406
213	382	1404
214	384	1405
215	386	1404
216	388	1402
217	390	1400
218	391	1397
219	393	1395
220	395	1392
221	396	1391
222	398	1389
223	400	1386
224	401	1384
225	403	1382
226	405	1380
227	407	1378
228	408	1376
229	410	1374
230	412	1372
231	414	1371
232	415	1369
233	417	1367
234	419	1364
235	421	1363
236	422	1361
237	424	1358
238	426	1357
239	428	1356
240	430	1354
241	432	1353
242	433	1351
243	435	1349
244	437	1347
245	438	1345
246	440	1343
247	442	1341
248	444	1339
249	445	1337
250	447	1335
251	449	1333
252	451	1331
253	452	1329
254	454	1327
255	456	1325
256	458	1324
257	459	1322
258	461	1320
259	463	1318
260	465	1316
261	466	1314
262	468	1312
263	470	1310
264	472	1309
265	473	1307
266	475	1305
267	477	1303
268	479	1301
269	480	1299
